epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1297.65,0.98953,1.84894,1.45002,0.48616,0.55973,0.54596,0.37094,1.13315,1.30118,1.65924,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077,0.0099923,0.00333077
2,2573.63,0.95138,1.40951,1.38972,0.46422,0.55321,0.4614,0.29818,1.23118,1.60449,1.74352,0.0190027,0.00633423,0.0190027,0.00633423,0.0190027,0.00633423,0.0190027,0.00633423
3,3847.24,0.99066,1.45229,1.41286,0.52355,0.51324,0.54229,0.35631,1.21996,1.42158,1.79084,0.0270231,0.00900769,0.0270231,0.00900769,0.0270231,0.00900769,0.0270231,0.00900769
4,5119.53,0.95707,1.3764,1.38625,0.60562,0.63551,0.68275,0.46313,1.13315,1.05073,1.62342,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
5,6391.07,0.88997,1.24588,1.33753,0.68816,0.69423,0.75213,0.55651,0.98276,0.92515,1.45322,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
6,7662.77,0.85279,1.16557,1.30776,0.73041,0.71347,0.79565,0.59998,0.9391,0.84234,1.40479,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
7,8934.39,0.83194,1.11529,1.29133,0.7178,0.75239,0.80606,0.60821,0.92815,0.82676,1.39486,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
8,10215.5,0.81099,1.07391,1.27975,0.76698,0.75993,0.83046,0.63216,0.90392,0.76763,1.36566,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
9,11497.7,0.79406,1.03784,1.26737,0.78856,0.74665,0.83431,0.6324,0.89355,0.74726,1.35465,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604,0.01812,0.00604
10,12781.4,0.77849,1.00729,1.25623,0.79778,0.75535,0.84761,0.65593,0.87445,0.72426,1.33432,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545,0.016635,0.005545
11,14061.9,0.79828,0.78985,1.40137,0.77438,0.77794,0.84973,0.65703,0.87432,0.70611,1.32902,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
12,15340.1,0.77373,0.76028,1.37683,0.78702,0.77015,0.85286,0.66046,0.85908,0.6984,1.31178,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
13,16616.6,0.75771,0.72257,1.35983,0.79219,0.77127,0.85441,0.66491,0.84915,0.69255,1.30224,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
14,17890,0.74572,0.69447,1.34523,0.79509,0.77787,0.85641,0.66818,0.84157,0.68692,1.29482,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
15,19160.6,0.73346,0.66396,1.33451,0.78768,0.7933,0.85961,0.67476,0.83565,0.68108,1.28915,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
16,20435.3,0.71901,0.63659,1.32029,0.79005,0.79068,0.86251,0.6775,0.83139,0.67417,1.28519,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
17,21709,0.70526,0.60544,1.30781,0.79312,0.79782,0.863,0.67873,0.82868,0.66748,1.28217,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
18,22988.4,0.69316,0.57492,1.29756,0.78878,0.80973,0.86826,0.68364,0.82675,0.661,1.27957,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
19,24269,0.67852,0.54123,1.28233,0.79918,0.80113,0.87126,0.68772,0.82598,0.65423,1.27773,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
20,25548.6,0.66446,0.51535,1.26988,0.80284,0.80504,0.87349,0.69106,0.82322,0.64914,1.27491,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
